Matrix,M,N,NZ,Mode,Threads,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
mhd4800a,4800,4800,102252,ompHLL,33,0.293229,0.291690,0.287663,0.697420,0.701100,0.710915,1,5
mhda416,416,416,8562,serial,1,0.009449,0.009423,0.009414,1.812346,1.817255,1.818985,1,5
mhda416,416,416,8562,ompCSR,33,0.031950,0.031453,0.028650,0.535966,0.544440,0.597695,1,5
mhda416,416,416,8562,ompHLL,33,0.047610,0.042897,0.035481,0.359674,0.399189,0.482624,1,5
mhda416,416,416,8562,serial,1,0.009608,0.009553,0.009526,1.782261,1.792616,1.797600,1,5
mhda416,416,416,8562,ompCSR,33,0.028203,0.028591,0.025852,0.607175,0.598929,0.662386,1,5
mhda416,416,416,8562,ompHLL,33,0.041278,0.039193,0.034458,0.414846,0.436909,0.496953,1,5
ML_Laplace,377002,377002,27689972,serial,1,33.067657,32.725766,32.618175,1.674747,1.692243,1.697825,1,5
ML_Laplace,377002,377002,27689972,ompCSR,33,15.023671,15.138910,14.049400,3.686179,3.658120,3.941801,1,5
ML_Laplace,377002,377002,27689972,ompHLL,33,16.787557,16.890138,15.805129,3.298869,3.278833,3.503922,1,5
nlpkkt80,1062400,1062400,28704672,serial,1,33.274268,32.996033,32.685469,1.725338,1.739886,1.756418,1,5
nlpkkt80,1062400,1062400,28704672,ompCSR,33,16.568108,16.609043,15.510675,3.465051,3.456511,3.701280,1,5
nlpkkt80,1062400,1062400,28704672,ompHLL,33,17.808776,17.761783,16.926898,3.223655,3.232184,3.391605,1,5
olafu,16146,16146,1015156,serial,1,1.100718,1.098034,1.096138,1.844534,1.849042,1.852241,1,5
olafu,16146,16146,1015156,ompCSR,33,0.199399,0.190476,0.151333,10.182180,10.659174,13.416184,1,5
olafu,16146,16146,1015156,ompHLL,33,2.749334,2.758641,2.681792,0.738474,0.735983,0.757073,1,5
olm1000,1000,1000,3996,serial,1,0.004579,0.004585,0.004543,1.745351,1.743246,1.759193,1,5
olm1000,1000,1000,3996,ompCSR,33,0.056278,0.060972,0.034772,0.142011,0.131078,0.229840,1,5
olm1000,1000,1000,3996,ompHLL,33,0.036400,0.035679,0.028165,0.219560,0.224000,0.283756,1,5
PR02R,161070,161070,8185136,serial,1,9.767588,9.761258,9.754023,1.675979,1.677066,1.678310,1,5
PR02R,161070,161070,8185136,ompCSR,33,4.031690,3.973928,3.895001,4.060399,4.119418,4.202893,1,5
PR02R,161070,161070,8185136,ompHLL,33,7.877235,7.721169,7.088486,2.078175,2.120181,2.309417,1,5
raefsky2,3242,3242,294276,serial,1,0.350377,0.349435,0.349362,1.679767,1.684294,1.684648,1,5
raefsky2,3242,3242,294276,ompCSR,33,0.089764,0.079791,0.064140,6.556644,7.376127,9.176059,1,5
raefsky2,3242,3242,294276,ompHLL,33,0.685655,0.684026,0.677537,0.858379,0.860423,0.868664,1,5
rdist2,3198,3198,56934,serial,1,0.054548,0.054528,0.054503,2.087483,2.088230,2.089203,1,5
rdist2,3198,3198,56934,ompCSR,33,0.059201,0.059085,0.057643,1.923421,1.927189,1.975399,1,5
rdist2,3198,3198,56934,ompHLL,33,0.456826,0.419303,0.347784,0.249259,0.271565,0.327410,1,5
roadNet-PA,1090920,1090920,3083796,serial,1,9.251268,9.242239,9.223562,0.666675,0.667327,0.668678,1,5
roadNet-PA,1090920,1090920,3083796,ompCSR,33,2.149467,2.104236,1.792406,2.869359,2.931036,3.440957,1,5
roadNet-PA,1090920,1090920,3083796,ompHLL,33,4.152061,4.096214,3.935831,1.485429,1.505681,1.567037,1,5
