Matrix,Mode,Threads,Speedup_Avg,Speedup_Median
cage4,ompHLL,9,.007688,.009024
cant,ompCSR,9,2.611426,2.543508
cant,ompHLL,9,1.482386,1.469429
cavity10,ompCSR,9,2.404903,2.371947
cavity10,ompHLL,9,.272467,.303567
cop20k_A,ompCSR,9,2.671683,2.518418
cop20k_A,ompHLL,9,1.259144,1.256931
Cube_Coup_dt0,ompCSR,9,3.215317,3.260400
Cube_Coup_dt0,ompHLL,9,2.323994,2.386685
dc1,ompCSR,9,2.046520,2.038088
dc1,ompHLL,9,.005500,.005591
FEM_3D_thermal1,ompCSR,9,3.241719,2.975501
FEM_3D_thermal1,ompHLL,9,1.186408,1.173092
lung2,ompCSR,9,3.481592,3.644250
lung2,ompHLL,9,1.258661,1.246702
mac_econ_fwd500,ompCSR,9,3.404790,3.961088
mac_econ_fwd500,ompHLL,9,.331441,.316928
mcfe,ompCSR,9,1.556429,1.605524
mcfe,ompHLL,9,.212796,.223074
mhd4800a,ompCSR,9,2.352279,2.481022
mhd4800a,ompHLL,9,.433408,.498579
mhda416,ompCSR,9,.604924,.618844
mhda416,ompHLL,9,.386672,.382958
mhda416,ompCSR,9,.617261,.613044
mhda416,ompHLL,9,.315105,.368908
ML_Laplace,ompCSR,9,3.459888,3.425598
ML_Laplace,ompHLL,9,3.126045,3.099328
nlpkkt80,ompCSR,9,3.002337,3.073929
nlpkkt80,ompHLL,9,2.645613,2.636076
olafu,ompCSR,9,4.698713,4.961773
olafu,ompHLL,9,.534437,.545556
olm1000,ompCSR,9,.215958,.211959
olm1000,ompHLL,9,.172986,.174438
PR02R,ompCSR,9,3.641584,3.640559
PR02R,ompHLL,9,1.623244,1.628277
raefsky2,ompCSR,9,3.120863,3.001263
raefsky2,ompHLL,9,.437375,.429712
rdist2,ompCSR,9,2.445387,2.273963
rdist2,ompHLL,9,.174878,.179331
roadNet-PA,ompCSR,9,4.294300,4.382847
roadNet-PA,ompHLL,9,1.790759,1.742099
thermal1,ompCSR,9,4.656798,4.782102
thermal1,ompHLL,9,2.332393,2.213444
thermal2,ompCSR,9,4.338429,4.359595
